account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
204,100,OPEN A/P DEBTS,A,MINE CHART,MINE
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,MINE CHART,MINE
206,,SHORT TERM CONTRACTS & NT PAY,A,MINE CHART,MINE
207,,ST CONTRACTS PAY - LEDGER,A,MINE CHART,MINE
210,,INTEREST PAYABLE,A,MINE CHART,MINE
215,,ACCRUED PAYROLL,A,MINE CHART,MINE
217,,ACCRUED TAXES-FICA,A,MINE CHART,MINE
218,,ACCRUED TAXES-FED,A,MINE CHART,MINE
219,,ACCRUED TAXES-STATE,A,MINE CHART,MINE
220,,ACCRUED TAXES-FUTA & SUTA,A,MINE CHART,MINE
221,,ACCRUED TAXES-WORKMANS COMP,A,MINE CHART,MINE
222,,ACCRUED PROPERTY TAXES,A,MINE CHART,MINE
227,,ACCRUED SALES TAXES,A,MINE CHART,MINE
246,,UNEARNED REVENUE,A,MINE CHART,MINE
246,1,SECURITY DEPOSIT,A,MINE CHART,MINE
246,2,PREPAID RENT,A,MINE CHART,MINE
248,,OTHER CURRENT LIABILITIES,A,MINE CHART,MINE
249,,TOTAL CURRENT LIABILITIES,T,MINE CHART,MINE
250,,LONG TERM LIABILITIES,H,MINE CHART,MINE
260,,BONDS PAYABLE,A,MINE CHART,MINE
270,,LONG TERM CONTRACTS & NT PAY,A,MINE CHART,MINE
275,,LONG TERM LOANS,A,MINE CHART,MINE
285,,UNITS PAY S.C.,A,MINE CHART,MINE
290,,TOTAL LONG TERM LIABILITIES,T,MINE CHART,MINE
299,,TOTAL LIABILITIES,T,MINE CHART,MINE
300,,STOCKHOLDERS EQUITY,H,MINE CHART,MINE
301,,CAPITAL STOCK,A,MINE CHART,MINE
310,,PREFERRED STOCK,A,MINE CHART,MINE
320,,PAID IN CAP. IN EXCESS OF PAR,A,MINE CHART,MINE
335,,DEBTS NOT COVERED,A,MINE CHART,MINE
340,,BEGINNING RETAINED EARNINGS,A,MINE CHART,MINE
350,,RETAINED EARNINGS,A,MINE CHART,MINE
398,,TOTAL OWNERS EQUITY,T,MINE CHART,MINE
399,,TOT. LIAB. & OWNERSS EQUITY,T,MINE CHART,MINE
400,,INCOME STATEMENT,H,MINE CHART,MINE
402,,REVENUE,H,MINE CHART,MINE
404,,**,H,MINE CHART,MINE
405,,SALES,H,MINE CHART,MINE
405,100,SALES-LUMP PICKED UP,A,MINE CHART,MINE
405,120,SALES-DELIVERY BAGS,A,MINE CHART,MINE
405,125,SALES-BAGGED LUMP PICKED UP,A,MINE CHART,MINE
405,150,SALES-LUMP DELIVERED,A,MINE CHART,MINE
405,200,SALES-SLACK PICKED UP,A,MINE CHART,MINE
405,250,SALES-SLACK DELIVERED,A,MINE CHART,MINE
405,300,SALES-TIRES,A,MINE CHART,MINE
405,400,SALES-CLOTHING,A,MINE CHART,MINE
405,500,SALES-SAFETY,A,MINE CHART,MINE
405,600,SALES-WOOD PICKED UP,A,MINE CHART,MINE
405,610,SALES-WOOD-PINION,A,MINE CHART,MINE
405,611,SALES-WOOD-CEDAR,A,MINE CHART,MINE
405,612,SALES-WOOD-PINE,A,MINE CHART,MINE
405,613,SALES-WOOD-MIX,A,MINE CHART,MINE
405,614,SALES-WOOD-CHERRY,A,MINE CHART,MINE
405,615,SALES-WOOD-APPLE,A,MINE CHART,MINE
405,616,SALES-WOOD-OAK,A,MINE CHART,MINE
405,617,SALES-WOOD-APRICOT,A,MINE CHART,MINE
405,618,SALES-WOOD-ASPEN,A,MINE CHART,MINE
405,620,SALES-BUNDLE-PINION,A,MINE CHART,MINE
405,621,SALES-BUNDLE-CEDAR,A,MINE CHART,MINE
405,622,SALES-BUNDLE-PINE,A,MINE CHART,MINE
405,623,SALES-BUNDLE-MIX,A,MINE CHART,MINE
405,624,SALES-BUNDLE-CHERRY,A,MINE CHART,MINE
405,625,SALES-BUNDLE-APPLE,A,MINE CHART,MINE
405,626,SALES-BUNDLE-OAK,A,MINE CHART,MINE
405,627,SALES-BUNDLE-APRICOT,A,MINE CHART,MINE
405,630,SALES-DEL-PINION,A,MINE CHART,MINE
405,631,SALES-DEL-CEDAR,A,MINE CHART,MINE
405,632,SALES-DEL-PINE,A,MINE CHART,MINE
405,633,SALES-DEL-MIX,A,MINE CHART,MINE
405,634,SALES-DEL-CHERRY,A,MINE CHART,MINE
405,650,SALES-WOOD DELIVERED,A,MINE CHART,MINE
405,700,SALES-COAL RESALE,A,MINE CHART,MINE
405,800,SALES-METAL,A,MINE CHART,MINE
405,900,SALES-HOSE,A,MINE CHART,MINE
405,1000,SALES-REBUILDS,A,MINE CHART,MINE
405,1100,SALES-PLUMBING,A,MINE CHART,MINE
405,1200,SALES-MANTRIPS,A,MINE CHART,MINE
405,1300,SALES-FIRE SUPPRESSION,A,MINE CHART,MINE
405,1400,SALES-RIGGING,A,MINE CHART,MINE
405,1500,SALES-AUTO,A,MINE CHART,MINE
405,1600,SALES-SUPPLIES,A,MINE CHART,MINE
405,1700,SALES-FIREWOOD,A,MINE CHART,MINE
405,1800,SALES-VENTILATION,A,MINE CHART,MINE
405,1900,SALES-FREIGHT COAL,A,MINE CHART,MINE
405,2000,SALES-PUMP,A,MINE CHART,MINE
405,2100,SALES-CHAIN,A,MINE CHART,MINE
405,2200,SALES-YARD,A,MINE CHART,MINE
405,2300,SALES-CLEANING,A,MINE CHART,MINE
405,2400,SALES-FENCING,A,MINE CHART,MINE
405,2500,SALES-OIL,A,MINE CHART,MINE
405,2600,SALES-WELDING,A,MINE CHART,MINE
405,2700,SALES-BELTS,A,MINE CHART,MINE
405,2800,SALES-OFFICE,A,MINE CHART,MINE
420,,OTHER SALES,A,MINE CHART,MINE
421,,WAGE MDSE REVENUE,A,MINE CHART,MINE
422,,RETURNS & ALLOWANCES,A,MINE CHART,MINE
425,,DISCOUNTS,A,MINE CHART,MINE
426,,EXISE TAX,A,MINE CHART,MINE
427,,RECLAMATION TAXES,A,MINE CHART,MINE
428,,SALES TAX,A,MINE CHART,MINE
430,,NET SALES,T,MINE CHART,MINE
432,,COST OF GOODS SOLD,H,MINE CHART,MINE
432,100,COGS-LUMP,A,MINE CHART,MINE
432,200,COGS-SLACK,A,MINE CHART,MINE
432,300,COGS-TIRES,A,MINE CHART,MINE
432,400,COGS-GAS,A,MINE CHART,MINE
432,500,COGS-SAFETY,A,MINE CHART,MINE
432,600,COGS-WOOD,A,MINE CHART,MINE
432,610,COGS-WOOD-PINION,A,MINE CHART,MINE
432,611,COGS-WOOD-CEDAR,A,MINE CHART,MINE
432,612,COGS-WOOD-PINE,A,MINE CHART,MINE
432,613,COGS-WOOD-MIX,A,MINE CHART,MINE
432,614,COGS-WOOD-CHERRY,A,MINE CHART,MINE
432,615,COGS-WOOD-APPLE,A,MINE CHART,MINE
432,616,COGS-WOOD-OAK,A,MINE CHART,MINE
432,617,COGS-WOOD-APRICOT,A,MINE CHART,MINE
432,618,COGS-WOOD-ASPEN,A,MINE CHART,MINE
432,620,COGS-BUNDLE-PINION,A,MINE CHART,MINE
432,621,COGS-BUNDLE-CEDAR,A,MINE CHART,MINE
432,622,COGS-BUNDLE-PINE,A,MINE CHART,MINE
432,623,COGS-BUNDLE-MIX,A,MINE CHART,MINE
432,624,COGS-BUNDLE-CHERRY,A,MINE CHART,MINE
432,625,COGS-BUNDLE-APPLE,A,MINE CHART,MINE
432,626,COGS-BUNDLE-OAK,A,MINE CHART,MINE
432,627,COGS-BUNDLE-APRICOT,A,MINE CHART,MINE
432,700,COGS-COAL RESALE,A,MINE CHART,MINE
432,800,COGS-METAL,A,MINE CHART,MINE
432,900,COGS-HOSE,A,MINE CHART,MINE
432,1000,COGS-REBUILDS,A,MINE CHART,MINE
432,1100,COGS-PLUMBING,A,MINE CHART,MINE
432,1200,COGS-MANTRIPS,A,MINE CHART,MINE
432,1300,COGS-FIRE SUPPRESSION,A,MINE CHART,MINE
432,1400,COGS-RIGGING,A,MINE CHART,MINE
432,1500,COGS-AUTO,A,MINE CHART,MINE
432,1600,COGS-RANCH SUPPLIES,A,MINE CHART,MINE
432,1700,COGS-FIREWOOD,A,MINE CHART,MINE
432,1800,COGS-VENTILATION,A,MINE CHART,MINE
432,1900,COGS-FREIGHT COAL,A,MINE CHART,MINE
432,2000,COGS-PUMP,A,MINE CHART,MINE
432,2100,COGS-CHAIN,A,MINE CHART,MINE
432,2200,COGS-YARD,A,MINE CHART,MINE
432,2300,COGS-CLEANING,A,MINE CHART,MINE
432,2400,COGS-FENCING,A,MINE CHART,MINE
432,2500,COGS-OIL,A,MINE CHART,MINE
432,2600,COGS-WELDING,A,MINE CHART,MINE
432,2700,COGS-BELTS,A,MINE CHART,MINE
432,2800,COGS-OFFICE,A,MINE CHART,MINE
435,,OTHER COST OF GOODS SOLD,A,MINE CHART,MINE
435,696,COGS-SEED,A,MINE CHART,MINE
439,,TOTAL COST OF GOODS SOLD,T,MINE CHART,MINE
440,,GROSS MARGIN,T,MINE CHART,MINE
445,,OTHER REVENUE,H,MINE CHART,MINE
470,,RENTAL INCOME,A,MINE CHART,MINE
470,1,GRAZING INCOME,A,MINE CHART,MINE
470,2,HUNTING INCOME,A,MINE CHART,MINE
470,5,CAM INCOME,A,MINE CHART,MINE
475,,FREIGHT INCOME,A,MINE CHART,MINE
475,100,FREIGHT INCOME FROM WHHC,A,MINE CHART,MINE
475,200,OTHER FREIGHT INCOME,A,MINE CHART,MINE
475,300,COAL SALES,A,MINE CHART,MINE
475,400,FUEL SURCHARGE INCOME,A,MINE CHART,MINE
475,500,FREIGHT INCOME PAID TRUCKS,A,MINE CHART,MINE
476,,LOADING FEE INCOME,A,MINE CHART,MINE
477,,WARRANTY INCOME,A,MINE CHART,MINE
480,,SERVICE INCOME,A,MINE CHART,MINE
480,100,PARTS INCOME,A,MINE CHART,MINE
480,200,FUEL INCOME,A,MINE CHART,MINE
480,600,SERVICE INC-TOW COMMISSION,A,MINE CHART,MINE
482,,GAIN ON SALE OF AN ASSET,A,MINE CHART,MINE
484,,REBATES,A,MINE CHART,MINE
485,,ROYALTIES,A,MINE CHART,MINE
485,1,GAS ROYALTIES,A,MINE CHART,MINE
487,,INTEREST INCOME,A,MINE CHART,MINE
488,,LOAN INTEREST INCOME,A,MINE CHART,MINE
489,,LOAN FEE INCOME,A,MINE CHART,MINE
490,,LOAN PENALTY INCOME,A,MINE CHART,MINE
491,,OTHER INCOME,A,MINE CHART,MINE
492,,NOT CODED OTHER REVENUE,A,MINE CHART,MINE
493,,SCR LT,A,MINE CHART,MINE
494,,SCR ST,A,MINE CHART,MINE
495,,SCR INV,A,MINE CHART,MINE
496,,RECEIPTS REVENUE,A,MINE CHART,MINE
498,,TOTAL OTHER REVENUE,T,MINE CHART,MINE
499,,REVENUE LESS COGS,T,MINE CHART,MINE
500,,EXPENSES,H,MINE CHART,MINE
502,,OPERATING EXPENSES,H,MINE CHART,MINE
504,,CHARGED OFF ACTS,A,MINE CHART,MINE
505,,BAD CHECKS,A,MINE CHART,MINE
506,,WAGES,A,MINE CHART,MINE
