account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
167,,FURNITURE & FIXTURES,A,MISCELLANEOUS CHART,MISC
168,,ACCUM DEPR FURNITURE & FIXTURE,A,MISCELLANEOUS CHART,MISC
170,,IMPROVEMENTS,A,MISCELLANEOUS CHART,MISC
171,,ACCUM DEP IMPROVEMENTS,A,MISCELLANEOUS CHART,MISC
174,,BUILDINGS,A,MISCELLANEOUS CHART,MISC
175,,ACCUM DEPRECIATION BUILDINGS,A,MISCELLANEOUS CHART,MISC
190,,LAND,A,MISCELLANEOUS CHART,MISC
191,,INTANGIBLE-RESEARCH & DEVELOPM,A,MISCELLANEOUS CHART,MISC
191,500,TRADEMARKS,A,MISCELLANEOUS CHART,MISC
191,1000,PATENTS,A,MISCELLANEOUS CHART,MISC
191,2000,RESEARCH & DEVELOPMENT,A,MISCELLANEOUS CHART,MISC
191,2001,R&D SRS,A,MISCELLANEOUS CHART,MISC
191,2002,R&D-HTI,A,MISCELLANEOUS CHART,MISC
191,2003,R&D-STEALTH HUNTER,A,MISCELLANEOUS CHART,MISC
191,2004,R&D SRS COVERT,A,MISCELLANEOUS CHART,MISC
191,2100,R&D SCOPES MOUNTS,A,MISCELLANEOUS CHART,MISC
191,2250,R&D SILENCER,A,MISCELLANEOUS CHART,MISC
191,2500,R&D GUNS,A,MISCELLANEOUS CHART,MISC
192,,ACCUMULATED AMORTIZATION,A,MISCELLANEOUS CHART,MISC
192,500,ACCUM AMORT-TRADEMARKS,A,MISCELLANEOUS CHART,MISC
192,1000,ACCUM AMORT-PATENTS,A,MISCELLANEOUS CHART,MISC
192,2000,ACCUM AMORT-R&D,A,MISCELLANEOUS CHART,MISC
192,2001,ACCUM AMORT-R&D SRS,A,MISCELLANEOUS CHART,MISC
192,2002,ACCUM AMORT-R&D HTI,A,MISCELLANEOUS CHART,MISC
192,2003,ACCUM AMORT-STEALTH HUNTER,A,MISCELLANEOUS CHART,MISC
192,2100,ACCUM AMORT-SCOPE MOUNTS,A,MISCELLANEOUS CHART,MISC
192,2250,ACCUM AMORT-SILENCER,A,MISCELLANEOUS CHART,MISC
192,2500,ACCUM AMORT-GUNS,A,MISCELLANEOUS CHART,MISC
193,,INTANGIBLE - COMPUTER PROGRAM,A,MISCELLANEOUS CHART,MISC
194,,UNITS REC S.C.,A,MISCELLANEOUS CHART,MISC
195,,UNITS USING,A,MISCELLANEOUS CHART,MISC
198,,TOTAL LONG TERM ASSETS,T,MISCELLANEOUS CHART,MISC
199,,TOTAL ASSETS,T,MISCELLANEOUS CHART,MISC
200,,LIABILITIES & OWNERS EQUITY,H,MISCELLANEOUS CHART,MISC
201,,LIABILITIES,H,MISCELLANEOUS CHART,MISC
202,,CURRENT LIABILITIES,H,MISCELLANEOUS CHART,MISC
203,,ACCOUNTS PAYABLE,A,MISCELLANEOUS CHART,MISC
203,1,A/P-MTN COIN,A,MISCELLANEOUS CHART,MISC
203,2,A/P-FIDELITY,A,MISCELLANEOUS CHART,MISC
203,3,A/P-NICK YOUNG,A,MISCELLANEOUS CHART,MISC
203,100,GOODS RECEIVED-NO A/P,A,MISCELLANEOUS CHART,MISC
203,1000,A/P - FIDELITY LENDING,A,MISCELLANEOUS CHART,MISC
203,2000,ACCOUNTS PAYABLE,A,MISCELLANEOUS CHART,MISC
203,5000,INTER COMPANY AP,A,MISCELLANEOUS CHART,MISC
204,,ACCOUNTS PAYABLE-COMPUTER,A,MISCELLANEOUS CHART,MISC
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,MISCELLANEOUS CHART,MISC
205,10,A/P-CREDIT CARDS CLEARING,A,MISCELLANEOUS CHART,MISC
205,1000,A/P-AMEX CLEARING,A,MISCELLANEOUS CHART,MISC
205,1001,A/P-AMEX CLEARING 1002,A,MISCELLANEOUS CHART,MISC
205,1010,A/P-AMEX CLEARING 1010,A,MISCELLANEOUS CHART,MISC
205,1028,A/P-AMEX CLEARING 1028,A,MISCELLANEOUS CHART,MISC
205,1036,A/P-AMEX CLEARING 1036,A,MISCELLANEOUS CHART,MISC
205,1044,A/P-AMEX CLEARING 1044,A,MISCELLANEOUS CHART,MISC
205,1100,A/P-AMEX CLEARING 1005,A,MISCELLANEOUS CHART,MISC
205,1600,A/P-AMEX 2063 NICK,A,MISCELLANEOUS CHART,MISC
205,1700,AP AMEX 1037,A,MISCELLANEOUS CHART,MISC
206,,SHORT TERM CONTRACTS & NT PAY,A,MISCELLANEOUS CHART,MISC
206,1,FEES COLLECTED-CARL,A,MISCELLANEOUS CHART,MISC
206,2,FEES COLLECTED-DAVID,A,MISCELLANEOUS CHART,MISC
206,3,FEES COLLECTED-LAURA,A,MISCELLANEOUS CHART,MISC
206,4,FEES COLLECTED-RYAN,A,MISCELLANEOUS CHART,MISC
207,,ST CONTRACTS PAY - LEDGER,A,MISCELLANEOUS CHART,MISC
210,,INTEREST PAYABLE,A,MISCELLANEOUS CHART,MISC
212,,ACCOUNTS PAYABLE CREDIT CARDS,A,MISCELLANEOUS CHART,MISC
215,,ACCRUED PAYROLL,A,MISCELLANEOUS CHART,MISC
217,,ACCRUED TAXES-FICA,A,MISCELLANEOUS CHART,MISC
218,,ACCRUED TAXES-FED,A,MISCELLANEOUS CHART,MISC
219,,ACCRUED TAXES-STATE,A,MISCELLANEOUS CHART,MISC
220,,ACCRUED TAXES-FUTA & SUTA,A,MISCELLANEOUS CHART,MISC
221,,ACCRUED TAXES-WORKMANS COMP,A,MISCELLANEOUS CHART,MISC
227,,ACCRUED SALES TAXES,A,MISCELLANEOUS CHART,MISC
